,addr,amount
165,terra1w58snmvtefgcwls48vkltqdg7yyn5dxfy070ye,6901867352
166,terra1a08wjhk90jjxfa2tm7na0sckjzlxseq5ck9xme,6830250000
167,terra1j30m5ekzun60gyqv4xu8q47acyrd5cdflunuxp,6798669660
168,terra1fkau7n9snamxt405l666482ly80amn6f9pqngd,6773356619
169,terra1fmlqg5m38juf9nfe5amuwjlqv8h84xqhsajk3s,6745584484
170,terra1gktl3ykgq8ylrnl4yujfxl3k0gvjj9t8hk9t0z,6722983769
171,terra1kllmeckufu56z0su30jmmnlqstrmnneuz7jqya,6707045616
172,terra15k7wyr6uzng6j2j8x27lp9g5fjyt7va6xvhj5d,6698670482
173,terra1vjwrvgmp0l2vvnkpdk8dtrxfqfdf53us3tgqtv,6673917620
174,terra1nel3mggkwec2m928lwgag5km0h6rgm4hmgdvmy,6667149857
175,terra1vhq2wzj56s0ucggdat48utveetkp6wccspd0lc,6530894498
176,terra1ghljk0m258j7drgf7svqn8aq3tlfjnjqwnjmm8,6455630512
177,terra1704md4j3w36qmt030h2453uwej5mz9mldaqc09,6432123000
178,terra1p6khvjv574ryp33ks5sg6uqqz4rppmkk3j83r2,6412361169
179,terra1m748r0n6af8jku5s09d88ywdm74zkhqq8drtac,6323563887
180,terra1p90dtfyvu8jgwj4fkdkl8x903j40xfd5gs03ml,6319337573
181,terra12w8az59qqcqrr8xhh8wlccxsu6kfsmuvq294gg,6256191672
182,terra1dvk649ydmxytj8fylgfre42v3sdyqm72z2mmdc,6230225027
183,terra1pm3jwcg7tfk43ajwlwczcfyvy325nm2u4jq2mc,6216424826
184,terra1staqhvn4ev64w9l464gjwwt7rafx66a0z63xgq,6184535279
185,terra1zv9s60qvay5wz3fszfxqpdgmjcmrngplefd034,6176080969
186,terra183mn8aj3jymn90h4606ywpwfjs9wvd4emqs6l0,6175804437
187,terra1cr72gl930e5lahh8v36glhvw3gfyzl9wrn48c9,6159977603
188,terra13f5aqum89yqt24padzwpv0xlcj60ka9qlvar2n,6104408921
189,terra17ngncfe9cq5qf58yj8n30wzhd8kft4rfax92c8,6031596768
190,terra14vk6e2qtc59d09vq8a4r5jz37r6up0nq3naj5e,6025699955
191,terra1rhfnmk2se8vydwrsh50wlgzqhjjgvewvn772pw,6019869082
192,terra1rps66nrx6a28d9z9nrhg2me4cj47u82q6222zj,5935925219
193,terra1jrzwgc7lg9s7r5fwq4rs3yvjjnshj33dkdkyxf,5931608493
194,terra16w9t2lnrqajgqx0r3l9n94ghy7drc5mz7dsmzz,5918951591
195,terra10x0aaa56zrwj5t36msfdcx4jhc86y2h02shjpl,5895475664
196,terra13s9nkjkswstkwc26v53m9qy8jggmpngwh7gfdl,5882912107
197,terra10c3a2kvwsdf847rjaztm5gm6njv0mca8hlcrfc,5872198197
