,amount_signed
1314,0.0055000000000000005
1315,100.0
1316,6.155871
1317,-3.332493
1318,-36.336698
1319,1e-05
1320,1500.0
1321,0.001
1322,0.11
1323,770.0
1324,0.01
1325,0.0001
1326,-0.45582599999999995
1327,0.1
1328,0.01
1329,11.0
1330,250.0
1331,19.999995
1332,50.0
1333,628.0
1334,-73.523909
1335,-0.9661329999999999
1336,-10.017864
1337,0.001
1338,0.01
1339,50.0
1340,125.0
1341,10.0
1342,0.01
1343,120.0
1344,0.0001
1345,250.0
1346,5000.0
1347,0.0001
1348,-0.444497
1349,-0.971571
1350,100.0
1351,1e-06
1352,1e-06
1353,0.0001
1354,0.01
1355,5.0
1356,0.01
1357,0.41000000000000003
1358,0.02
1359,1000.0
1360,0.0001
1361,40.0
1362,10.0
1363,-520.157489
1364,50.0
1365,10000.0
1366,-0.953897
1367,-155.703663
1368,-246.085096
1369,0.02
1370,0.01
1371,0.05
1372,0.001
1373,45.0
1374,0.001
1375,22.54
1376,3.0
1377,1e-05
1378,0.01
1379,770.0
1380,100.0
1381,0.001
1382,1e-06
1383,50.0
1384,0.02
1385,22.58
1386,10.0
1387,0.01
1388,0.1
1389,0.01
1390,1e-06
1391,0.01
1392,0.001
1393,0.1
1394,-31.319462
1395,-35.730687
1396,-0.444013
1397,-0.932321
1398,-0.425647
1399,30.0
1400,10.0
1401,0.5
1402,1e-05
1403,0.001
1404,1e-05
1405,0.0001
1406,-0.42276199999999997
1407,38.0
1408,-396.087573
1409,0.01
1410,0.0001
1411,50.0
1412,80.0
1413,0.01
1414,1e-06
1415,0.001
1416,0.0001
1417,10.0
1418,-6.41507
1419,0.0001
1420,1e-06
1421,-0.45104299999999997
1422,-37.060459
1423,0.05
1424,0.01
1425,50.0
1426,0.01
1427,20.0
1428,2500.0
1429,-185.513537
1430,35.0
1431,30.0
1432,0.01
1433,0.01
1434,20.0
1435,-0.420958
1436,-0.425377
1437,300.0
1438,0.01
1439,0.05
1440,1.0
1441,5.0
1442,900.0
1443,-376.079011
1444,-38.269447
1445,-2.002076
1446,100.0
1447,0.0001
1448,-0.954633
1449,0.001
1450,0.0001
1451,10.0
1452,1e-05
1453,-677.715679
1454,-156.433669
1455,-375.459723
1456,-156.223901
1457,1500.0
1458,0.02
1459,0.01
1460,100.0
1461,0.01
1462,0.01
1463,0.01
1464,1e-05
1465,0.001
1466,35.0
1467,0.01
1468,0.2
1469,0.012
1470,0.04
1471,35000.0
1472,50.0
1473,100.0
1474,50.916402
1475,0.12
1476,0.02
1477,50.0
1478,300.0
1479,250.0
1480,10.0
1481,1e-05
1482,0.001
1483,0.01
1484,0.1
1485,0.01
1486,0.0001
1487,12.737463
1488,0.5
1489,-139.945769
1490,0.09
1491,-2409.759037
1492,-1.981928
1493,-2.008213
1494,-0.424819
1495,0.01
1496,1e-05
1497,200.0
1498,-0.944471
1499,-0.45503000000000005
1500,2.0
1501,61900.0
1502,60.0
1503,100.0
1504,1e-05
1505,0.001
1506,33.387968
1507,0.01
1508,-0.45135000000000003
1509,-38.173677
1510,-102.777874
1511,-1766.348185
1512,0.1
1513,50.0
1514,12.0
1515,0.001
1516,630.0
1517,0.01
1518,20.0
1519,0.02
1520,490.0
1521,500.0
1522,1000.0
1523,0.01
1524,1e-05
